QUANTIDADE,IDX_PRODUTO,SEMANA
-0.15,         801,2013-03-04
-0.15,         815,2013-03-04
-0.15,         819,2013-03-04
-0.15,         844,2013-03-04
-2.0,        1779,2013-03-04
-0.15,        3252,2013-03-04
-0.13,        4640,2013-03-04
-0.15,        4912,2013-03-04
-0.15,        5888,2013-03-04
-0.15,        5896,2013-03-04
-0.3,       10233,2013-03-04
-2.0,       10234,2013-03-04
-10.0,       12037,2013-03-04
-0.15,       12183,2013-03-04
1.0,       12340,2013-03-04
-2.0,       12346,2013-03-04
1.0,       10275,2013-08-12
-0.2,        1270,2013-08-19
1.0,        1684,2013-08-19
-2.62,        2663,2013-08-19
-1.0,        2774,2013-08-19
-2.58,        3031,2013-08-19
0.8,        3324,2013-08-19
1.3,        3325,2013-08-19
2.58,        4366,2013-08-19
-2.58,        4640,2013-08-19
2.58,        4912,2013-08-19
-0.8,        4990,2013-08-19
2.62,        5021,2013-08-19
-1.3,       10282,2013-08-19
16.0,       10396,2013-08-19
-16.0,       10429,2013-08-19
10.0,       11403,2013-08-19
-10.0,       11406,2013-08-19
-16.0,       12355,2013-08-19
1.0,       12563,2013-08-19
5.0,       11403,2013-08-26
-5.0,       11411,2013-08-26
0.3,        1684,2013-09-02
-0.3,        1688,2013-09-02
0.6,        1709,2013-09-02
-0.6,        1717,2013-09-02
-0.6,        1770,2013-09-02
2.0,        4949,2013-09-02
-15.0,        5198,2013-09-02
0.6,        6096,2013-09-02
-12.0,       10405,2013-09-02
8.0,       11956,2013-09-02
1.0,       12340,2013-09-02
1.26,         793,2013-09-09
1.39,         819,2013-09-09
85.0,        1643,2013-09-09
150.0,        1667,2013-09-09
1.5,        1679,2013-09-09
1.26,        1903,2013-09-09
-1.26,        1937,2013-09-09
-0.5,        2063,2013-09-09
1.26,        2980,2013-09-09
1.26,        3174,2013-09-09
1.26,        3277,2013-09-09
1.39,        3278,2013-09-09
0.9,        3325,2013-09-09
-0.5,        4333,2013-09-09
-1.4,        4573,2013-09-09
1.4,        4990,2013-09-09
-1.39,        5021,2013-09-09
-1.26,        5021,2013-09-09
-90.0,        5203,2013-09-09
-45.0,        5206,2013-09-09
-0.9,        5889,2013-09-09
1.26,        6100,2013-09-09
-45.0,       10210,2013-09-09
65.0,       10268,2013-09-09
-1.0,       10322,2013-09-09
2.0,       10323,2013-09-09
1.26,       10345,2013-09-09
8.0,       10396,2013-09-09
-5.0,       10420,2013-09-09
-1.0,       12122,2013-09-09
1.0,       12147,2013-09-09
-1.26,       12154,2013-09-09
-1.39,       12233,2013-09-09
-1.26,       12233,2013-09-09
-0.5,       12246,2013-09-09
